NewQuestion,MC,
Title,,
QuestionText,1.1. Which of these types is used to represent a number with a fraction part?,
Points,1,
Difficulty,1,
Option,0,a) int
Option,0,b) real
Option,0,c) string
Option,100,d) float
Feedback,"float values represent floating-point numbers, which can have a fraction part.",
NewQuestion,MC,
Title,,
QuestionText,1.2. Which of these is a legal expression?,
Points,1,
Difficulty,1,
Option,0,a) '1' / '2'
Option,0,b) '1'  '2'
Option,0,c) '1' / 2
Option,100,d) '1'  2
Feedback,"When the first operator is a string, the multiplication operator repeats the string, so the result is '11'.",
NewQuestion,MC,
Title,,
QuestionText,1.3. Which of these is the general word for any value used in a mathematical operation like addition or multiplication?,
Points,1,
Difficulty,1,
Option,0,a) term
Option,0,b) factor
Option,0,c) divisor
Option,100,d) operand
Feedback,"An operand"" is a value used in an operation.""",
NewQuestion,MC,
Title,,
QuestionText,"1.4. On the internet, people sometimes argue about the value of an ambiguous mathematical expression like 8÷2(2+2). How do we write this expression in Python?",
Points,1,
Difficulty,1,
Option,0,a) 8 ÷ 2 (2 + 2)
Option,0,b) 8 / 2 (2 + 2)
Option,0,c) 8 ÷ 2  (2 + 2)
Option,100,d) 8 / 2  (2 + 2)
Feedback,An alternative is to put 8 / 2 in parentheses so the order of operations is clear.,
NewQuestion,MC,
Title,,
QuestionText,2.1. Which of these is a legal variable name?,
Points,1,
Difficulty,1,
Option,0,a) 2pi
Option,0,b) ?
Option,0,c) import
Option,100,d) is_even
Feedback,"is_even is a legal variable name because letters, numbers, and the underscore character, _, are allowed.",
NewQuestion,MC,
Title,,
QuestionText,2.2. Which of these is NOT a correct way to raise 2 to the third power?,
Points,1,
Difficulty,1,
Option,0,a) 2  2  2
Option,0,b) 2 * 3
Option,0,"c) math.pow(2, 3"
Option,100,d) 2 ^ 3
Feedback,"In some languages, the ^ operator is used for exponentiation, but in Python it means something else.",
NewQuestion,MC,
Title,,
QuestionText,"2.3. When you call a function, what are the values that appear in parentheses?",
Points,1,
Difficulty,1,
Option,0,a) assignments
Option,0,b) comments
Option,0,c) exceptions
Option,100,d) arguments
Feedback,The values you pass to a function are called arguments.,
NewQuestion,MC,
Title,,
QuestionText,"2.4. If a program runs without producing an error message, but it does not do the right thing, what kind of error is that?",
Points,1,
Difficulty,1,
Option,0,a) syntax error
Option,0,b) runtime error
Option,0,c) exception
Option,100,d) semantic error
Feedback,"A semantic error is when a program runs, but does the wrong thing.",
NewQuestion,MC,
Title,,
QuestionText,"3.1. When you define a function, what are the variables that appear in parentheses?",
Points,1,
Difficulty,1,
Option,0,a) arguments
Option,0,b) local variables
Option,0,c) function objects
Option,100,d) parameters
Feedback,A parameter is a variable that gets a value when the function is called.,
NewQuestion,MC,
Title,,
QuestionText,3.2. Which kind of statement can be used to run a line of code more than once?,
Points,1,
Difficulty,1,
Option,0,a) assignment statement
Option,0,b) import statement
Option,0,c) print statement
Option,100,d) for statement
Feedback,"A for statement can run a line of code, or multiple lines, more than once.",
NewQuestion,MC,
Title,,
QuestionText,"3.3. What is wrong with this function, if anything?
def bottle_line(n, suffix):
    print(n)
    print('bottles of beer')
    print(suffix)",
Points,1,
Difficulty,1,
Option,0,"a) Instead of def, the first word should be define."
Option,0,b) You can't have more than one parameter in parentheses.
Option,0,c) Only the first statement of the body should be indented.
Option,100,d) There are no errors in this function.
Feedback,There is nothing wrong with this function.,
NewQuestion,MC,
Title,,
QuestionText,"4.1. What is wrong with this function, if anything?
def square(length):
    for i in range(4):
        forward(50)
        left(90)",
Points,1,
Difficulty,1,
Option,0,a) The indentation of the statements in the for loop is incorrect.
Option,0,b) It does not bring the Turtle back to where it started.
Option,0,c) There are no errors in this function.
Option,100,"d) It always draws the same size square, regardless of length."
Option,0,The indentation in this function is correct.
Option,0,"The Turtle ends where it started, facing in the same direction."
Option,0,There is an error!
Option,0,The size is always 50 -- the value of length is never used.
NewQuestion,MC,
Title,,
QuestionText,4.2. What is it called when you put working statements into a new function definition?,
Points,1,
Difficulty,1,
Option,0,a) generalization
Option,0,b) indentation
Option,0,c) debugging
Option,100,d) encapsulation
Feedback,Encapsulation is the process of transforming a sequence of statements into a function definition.,
NewQuestion,MC,
Title,,
QuestionText,"4.3. Here are two versions of the circle function.
def circle(radius):
    circumference = 2  math.pi  radius
    n = 30
    length = circumference / n
    polygon(n, length)

def circle(radius):
    arc(radius,  360)

What can we say about these functions?",
Points,1,
Difficulty,1,
Option,0,"a) They have the same implementation, but different interfaces."
Option,0,b) They have the same interface and the same implementation.
Option,0,c) They have neither the same interface nor the same implementation.
Option,100,"d) They have the same interface, but different implementations."
Feedback,"They take the same parameter and have the same effect, so they have the same interface -- but they accomplish the effect in different ways, so they have different implementations.",
NewQuestion,MC,
Title,,
QuestionText,"5.1. What is the result of these assignment statements?
a = 25 // 10
b = 25 % 10",
Points,1,
Difficulty,1,
Option,0,a) a is 2.5 and b is 5
Option,0,b) a is 2 and b is 250
Option,0,c) a is 2.5 and b is 250
Option,100,d) a is 2 and b is 5
Feedback,The // operator does integer division and the % operator computes the remainder after division.,
NewQuestion,MC,
Title,,
QuestionText,"5.2. What is the result of these statements?
x = 5
print(x > 5)
print(x <= 5)",
Points,1,
Difficulty,1,
Option,0,a) They print the values True and True
Option,0,b) They print the values True and False
Option,0,c) They print the values False and False
Option,100,d) They print the values False and True
Feedback,"If x is 5, x > 5 is False and x <= 5 is True.",
NewQuestion,MC,
Title,,
QuestionText,"5.3. What is the result of calling this function?
def hello():
    print('hello')
    hello()",
Points,1,
Difficulty,1,
Option,0,a) It prints hello once.
Option,0,b) It prints hello forever.
Option,0,c) It causes an error the first time hello tries to call itself.
Option,100,d) It prints hello many times and then causes an error.
Feedback,"After printing hello many times, it causes a RecursionError.",
NewQuestion,MC,
Title,,
QuestionText,5.4. What kind of operator is or?,
Points,1,
Difficulty,1,
Option,0,a) arithmetic
Option,0,b) bitwise
Option,0,c) relational
Option,100,d) logical
Feedback,"or is a logical operator, along with and and not.",
NewQuestion,MC,
Title,,
QuestionText,"6.1. What is the return value if we call this function with the value 3?
def collatz(x):
    if x % 2 == 0:
        return x // 2
    else:
        return x  3 + 1",
Points,1,
Difficulty,1,
Option,0,a) 1
Option,0,b) 1.5
Option,0,c) It causes an error.
Option,100,d) 10
Feedback,"Because 3 % 2 is 1, the second branch of the conditional runs, and the result is 3  3 + 1, which is 10.",
NewQuestion,MC,
Title,,
QuestionText,6.2. What do we call a function that does not print anything or have any effect other than a return value?,
Points,1,
Difficulty,1,
Option,0,a) recursive
Option,0,b) dead code
Option,0,c) incremental
Option,100,d) pure function
Feedback,A pure function does not print anything or have any effect other than a return value.,
NewQuestion,MC,
Title,,
QuestionText,"6.3. What is the result of calling this function with the values x=1.5 and y=1.6?
def is_close(x, y):
    return abs(x - y) < 0.2",
Points,1,
Difficulty,1,
Option,0,a) There is a syntax error.
Option,0,b) There is a runtime error.
Option,0,c) False
Option,100,d) True
Feedback,"The absolute difference between 1.5 and 1.6 is 0.1, which is less than 0.2.",
NewQuestion,MC,
Title,,
QuestionText,"7.1. This function is supposed to return True if word contains with 'A' or 'a', and False otherwise. But it doesn't work -- What's wrong?
def has_a(wor**d):
    for letter in word.lower():
        if letter == 'a':
            return True
        else:
            return False
        return False",
Points,1,
Difficulty,1,
Option,0,a) The first line of the for statement has a syntax error.
Option,0,"b) It only checks for lowercase 'a', not uppercase 'A'."
Option,0,c) It causes a runtime error if word is an empty string.
Option,100,d) It only checks the first letter of word.
Feedback,"Both branches of the conditional have return statements, so this function ends after checking the first letter.",
NewQuestion,MC,
Title,,
QuestionText,"7.2. Which of these is a legal way to increment x, assuming it has already been assigned a value.",
Points,1,
Difficulty,1,
Option,0,a) x++
Option,0,b) x + 1 = x
Option,0,c) x = +1
Option,100,d) x = x + 1
Feedback,This is a legal way to update the value of x.,
NewQuestion,MC,
Title,,
QuestionText,"7.3. What does this function do?
def check(word, letters):
    for letter in word.lower():
        if letter in letters.lower():
            return False
    return True",
Points,1,
Difficulty,1,
Option,0,a) Returns True if any of the letters in letters appear in word.
Option,0,b) Returns True if any of the letters in word appear in letter.
Option,0,c) Returns True if none of the letters in word appear in letter.
Option,100,d) Returns True if none of the letters in letters appear in word.
Feedback,It returns True if it gets to the end of word and exits the loop having found none of the letters in letters.,
NewQuestion,MC,
Title,,
QuestionText,8.1. What is the result of this comparison: 'Orange' < 'apple'?,
Points,1,
Difficulty,1,
Option,0,a) False
Option,0,b) Syntax error
Option,0,"c) Runtime error, because you can't compare apples and oranges."
Option,100,d) True
